names,scores,logfoldchanges,pvals,pvals_adj,tested_group
TTK,-4.6045446,-4.2610493,4.1336964582957996e-06,1.249927298641697e-05,B cells
BRCA1,-5.1828203,-2.5164506,2.1855583474129448e-07,7.160102681339909e-07,B cells
FANCI,-5.795545,-3.2844582,6.809960168170363e-09,2.4180402217047396e-08,B cells
CHEK1,-5.8162937,-3.7036088,6.016673037298706e-09,2.1434576055249286e-08,B cells
RRM2,-6.5738378,-2.9580061,4.9034699373544615e-11,1.92558187693287e-10,B cells
H2AFX,-8.621039,-1.0285543,6.634921099866785e-18,3.4266485707838245e-17,B cells
FEN1,-9.576747,-2.213963,1.0014965166985694e-21,5.889019052914631e-21,B cells
TYMS,-10.346462,-3.1637242,4.342354460204034e-25,2.7916197732318833e-24,B cells
RFC4,-12.116965,-1.9459333,8.588066884191566e-34,6.857367508911715e-33,B cells
UBE2T,-18.664433,-3.27835,9.639214823076078e-78,1.7701746341350714e-76,B cells
CDC25A,-0.32630655,-0.8462163,0.7441924416294308,1.0,Mast cells
POLQ,-0.4871958,-2.307456,0.6261195794804382,1.0,Mast cells
FANCB,-0.7264649,-1.266148,0.4675538014882893,0.9213283610787601,Mast cells
EME1,-0.75498235,-23.561064,0.4502595812230087,0.89721428578865,Mast cells
NEIL3,-0.8382524,-23.912386,0.401888937422731,0.825051332629956,Mast cells
BRIP1,-0.8481507,-3.8365953,0.3963540620495196,0.8165154580509988,Mast cells
RAD54B,-1.0087682,-3.5882509,0.3130857863688833,0.6805017868476944,Mast cells
FANCD2,-1.1097338,-2.0766904,0.2671137381795603,0.602137036945932,Mast cells
BLM,-1.1216787,-0.86147875,0.2619990648437538,0.5923519726371986,Mast cells
CDC25C,-1.1649665,-4.554057,0.2440325510731607,0.5589900857305611,Mast cells
RAD54L,-1.2368532,-4.5085807,0.21614158799258198,0.5064280339229333,Mast cells
EXO1,-1.2768084,-24.640787,0.20166991281736768,0.4784909071826625,Mast cells
XRCC2,-1.5044134,-24.586975,0.13247497405299613,0.3375999310491022,Mast cells
RAD51,-1.634829,-3.5823274,0.10208488186675496,0.27135527227835193,Mast cells
POLE2,-1.690913,-3.8576338,0.09085341602638487,0.24549706479464328,Mast cells
TTK,-2.3260117,-26.033737,0.020017923633048208,0.06487327387077164,Mast cells
FANCA,-2.3921478,-1.6457093,0.0167500922775108,0.05543916411415259,Mast cells
BRCA1,-2.4722846,-2.8561423,0.013425259023560883,0.0453812423609207,Mast cells
FANCI,-2.5357945,-1.8605437,0.011219255765850498,0.03864905827425612,Mast cells
CHEK1,-2.7335598,-3.226925,0.00626537346507925,0.022903578891731138,Mast cells
RRM2,-3.361595,-3.6507878,0.0007749372457997076,0.003446833983340863,Mast cells
H2AFX,-3.3621745,-0.50458115,0.000773312441514244,0.0034402861292478697,Mast cells
TYMS,-4.553023,-2.2065654,5.288046659265689e-06,3.416156977443629e-05,Mast cells
FEN1,-4.7535596,-2.235366,1.998661372741643e-06,1.370953933393834e-05,Mast cells
RFC4,-6.3899827,-3.0325387,1.6590467847032687e-10,1.8016048770948797e-09,Mast cells
UBE2T,-9.371877,-4.2067437,7.125418596776146e-21,1.886686924102901e-19,Mast cells
CDC25A,-0.51332515,-3.5072448,0.607723906801396,1.0,Alveolar cell
POLQ,-0.74070805,-3.804263,0.45887046312877855,0.9688650811170134,Alveolar cell
BRIP1,-0.94277334,-1.0773737,0.3457968513090556,0.7953292283910329,Alveolar cell
EME1,-0.97951835,-3.4206605,0.3273239229773237,0.7635976764103981,Alveolar cell
NEIL3,-1.053608,-3.0283759,0.2920624366340814,0.7021665310582518,Alveolar cell
FANCB,-1.1056894,-2.4457352,0.2688609889300123,0.6619585515253461,Alveolar cell
FANCD2,-1.3392974,-1.5490336,0.18047387493421974,0.4845249402946233,Alveolar cell
RAD54B,-1.3474505,-3.5206707,0.17783516961563184,0.4791533991329705,Alveolar cell
H2AFX,-1.388275,-0.20096809,0.16505329718839867,0.4511883956746558,Alveolar cell
CDC25C,-1.7421407,-24.709692,0.0814838462276507,0.2530423796923447,Alveolar cell
EXO1,-1.7604102,-4.7322383,0.07833827586395281,0.24496202748299317,Alveolar cell
RAD54L,-1.8001943,-5.591404,0.0718299619310296,0.2276113812673168,Alveolar cell
XRCC2,-2.0820806,-5.37329,0.03733511739886075,0.1299262085480354,Alveolar cell
BLM,-2.2236996,-5.7351966,0.026168662535149996,0.09538889427008325,Alveolar cell
POLE2,-2.2747111,-2.813643,0.02292326290147268,0.08486482556945227,Alveolar cell
RAD51,-2.3218255,-5.191617,0.020242337544845564,0.07615972481182252,Alveolar cell
FANCA,-2.9799733,-1.5111598,0.0028827350281685096,0.013278141535102417,Alveolar cell
TTK,-3.2455885,-7.2884607,0.0011720814089090119,0.005892572598604811,Alveolar cell
CHEK1,-3.4406056,-2.1714702,0.0005804136927521895,0.003075837661990848,Alveolar cell
FANCI,-3.5050433,-2.773823,0.0004565331869808548,0.002474040957729582,Alveolar cell
BRCA1,-3.5344286,-3.6776495,0.0004086577668751537,0.002237192774780816,Alveolar cell
RRM2,-4.764896,-4.3840785,1.8895118384116176e-06,1.475784064295632e-05,Alveolar cell
TYMS,-5.8345513,-2.3871527,5.39354404664218e-09,5.5621385813724593e-08,Alveolar cell
FEN1,-6.6627164,-2.794321,2.6881211483532495e-11,3.4105537069731854e-10,Alveolar cell
RFC4,-8.718404,-3.136623,2.821519166160364e-18,5.769264189754218e-17,Alveolar cell
UBE2T,-12.44541,-3.774096,1.4812203857700803e-35,6.297422443878721e-34,Alveolar cell
CDC25A,-0.62202734,-22.371674,0.533923909656637,0.9057372172169693,Natural killer cells
POLQ,-0.8760948,-23.081692,0.38097849697164665,0.6938511224591024,Natural killer cells
EME1,-1.1534963,-3.444712,0.24870673105203822,0.4831128250685842,Natural killer cells
NEIL3,-1.2469783,-3.162755,0.21240545689060886,0.4204631608641034,Natural killer cells
BRIP1,-1.2551756,-1.4627249,0.20941500582941197,0.41505394725605943,Natural killer cells
FANCB,-1.2720433,-1.0491018,0.20335771355672183,0.40429322036117993,Natural killer cells
RAD54B,-1.5849415,-2.5531178,0.11297961479478634,0.23868082319247333,Natural killer cells
BLM,-1.7207991,-0.27926207,0.08528727722082104,0.18516024834923983,Natural killer cells
CDC25C,-1.9065453,-4.250761,0.05657948959095238,0.1273123266379998,Natural killer cells
EXO1,-1.9766228,-4.5537133,0.04808427665391325,0.10967537259263359,Natural killer cells
RAD54L,-2.0204225,-4.551241,0.04333957487576512,0.09971351275287563,Natural killer cells
FANCD2,-2.0279455,-2.5818384,0.04256579975161557,0.0981513677653657,Natural killer cells
XRCC2,-2.2584627,-2.8114364,0.023916827170377002,0.05756439506837268,Natural killer cells
RAD51,-2.573706,-3.3449378,0.010061576776600557,0.025795597850397128,Natural killer cells
POLE2,-2.6494143,-2.380502,0.008063140707743851,0.020979994176396326,Natural killer cells
FANCA,-3.5346928,-0.6918291,0.00040824947941756035,0.0012429516983807442,Natural killer cells
TTK,-3.6708372,-26.033737,0.00024175726663301034,0.0007549219081266106,Natural killer cells
BRCA1,-3.9011228,-2.0041091,9.574754232295856e-05,0.00031096560552943574,Natural killer cells
FANCI,-4.192081,-2.1354039,2.7640735012441478e-05,9.435787303254937e-05,Natural killer cells
CHEK1,-4.4852433,-3.6260629,7.283085460400822e-06,2.608643533289012e-05,Natural killer cells
H2AFX,-4.5263104,0.109381266,6.0022416359489414e-06,2.1664025433739788e-05,Natural killer cells
RRM2,-5.331915,-3.2017777,9.718243212971192e-08,4.036519342265067e-07,Natural killer cells
FEN1,-7.707128,-2.1378546,1.2868044281636956e-14,8.054323383281265e-14,Natural killer cells
TYMS,-8.408552,-4.4763584,4.151011677980253e-17,2.932123703446051e-16,Natural killer cells
RFC4,-9.676535,-2.2084246,3.793552655621165e-22,3.306774545033335e-21,Natural killer cells
UBE2T,-15.286249,-4.928108,9.443480574230885e-53,2.1152082284209197e-51,Natural killer cells
CDC25A,-0.046823397,-22.371674,0.9626539810851907,1.0,Erythroblasts
POLQ,-0.06594845,-23.081692,0.9474188693880337,1.0,Erythroblasts
EME1,-0.08968989,-23.561064,0.9285336518396609,1.0,Erythroblasts
NEIL3,-0.09958216,-23.912386,0.920676061680592,1.0,Erythroblasts
BRIP1,-0.10881494,-23.807579,0.9133492757390109,1.0,Erythroblasts
FANCB,-0.1187072,-24.175463,0.9055073284848661,1.0,Erythroblasts
RAD54B,-0.12793998,-24.245726,0.8981964658883348,1.0,Erythroblasts
CDC25C,-0.14640555,-24.709692,0.8836012444303468,1.0,Erythroblasts
EXO1,-0.15168142,-24.640787,0.8794382059208514,1.0,Erythroblasts
RAD54L,-0.15497886,-24.661737,0.8768379907590069,1.0,Erythroblasts
FANCD2,-0.16421163,-24.560188,0.8695645436128712,1.0,Erythroblasts
XRCC2,-0.1787203,-24.586975,0.8581573355227293,1.0,Erythroblasts
BLM,-0.19059101,-24.951729,0.8488460326600604,1.0,Erythroblasts
RAD51,-0.20246173,-25.170786,0.8395557721192723,1.0,Erythroblasts
POLE2,-0.21697038,-25.087038,0.8282314201671384,1.0,Erythroblasts
TTK,-0.276324,-26.033737,0.7822992293864699,1.0,Erythroblasts
BRCA1,-0.3264448,-25.652493,0.7440878372935223,1.0,Erythroblasts
CHEK1,-0.34952676,-25.734661,0.7266938777544079,1.0,Erythroblasts
FANCA,-0.35875955,-25.70254,0.7197749740964164,1.0,Erythroblasts
FANCI,-0.3600785,-26.04786,0.7187884150613811,1.0,Erythroblasts
RRM2,-0.43921664,-27.01365,0.6605045567471395,1.0,Erythroblasts
TYMS,-0.6515707,-27.264044,0.5146781826469322,1.0,Erythroblasts
FEN1,-0.67597157,-27.141592,0.49905868821291555,1.0,Erythroblasts
H2AFX,-0.7386226,-27.088932,0.4601361931525071,1.0,Erythroblasts
RFC4,-0.8368858,-27.450008,0.4026567672517354,1.0,Erythroblasts
UBE2T,-1.1877315,-28.508593,0.23493919741192348,1.0,Erythroblasts
CDC25A,-0.15184115,-22.371674,0.8793122241592002,1.0,Lymphatic EC
POLQ,-0.21386078,-23.081692,0.8306556280817254,1.0,Lymphatic EC
EME1,-0.29085067,-23.561064,0.7711655408983532,1.0,Lymphatic EC
