,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
FANCB,0.46033653846153844,0.5396634615384616,-0.15898789536843771,4.653821e-06,3.2085752e-06,3.0031646e-09,0.25,0.14460634,0.06655884,1.8282226,-5.703556,5.9980373,0.026670258620689585,0.004595060310166571,0.024245689655172348,0.004595060310166571,0.04650415340813736,0.02948034805014052,False,Cancer cells_vs_Natural killer cells,Cancer cells,Natural killer cells
POLE2,0.9963942307692307,0.0036057692307692735,5.621605103173874,9.075028e-06,7.450075e-07,6.085302e-09,0.25,3.4557848,3.4553404,1.2286744,-1.3991737,7.8241854,0.05185883620689682,0.0,0.04431573275862087,0.0,0.07740881011256522,0.0,True,Cancer cells_vs_Erythroblasts,Cancer cells,Erythroblasts
RAD54B,0.9901842948717948,0.009815705128205177,4.613906406520466,6.3072903e-06,3.2166614e-07,6.085302e-09,0.25,4.0101266,3.9910707,1.7301161,-2.2322807,10.568431,0.028825431034482683,0.0,0.026131465517241305,0.0,0.04275885725121372,0.0,True,Cancer cells_vs_Erythroblasts,Cancer cells,Erythroblasts
EME1,0.9769631410256411,0.02303685897435892,3.7473530034957436,2.5813379e-06,2.5896358e-07,6.085302e-09,0.25,3.140188,3.0384893,1.6175282,-1.9495258,8.988739,0.019531249999999955,0.0,0.01831896551724134,0.0,0.026556511718484114,0.0,True,Cancer cells_vs_Erythroblasts,Cancer cells,Erythroblasts
FEN1,0.9689503205128205,0.031049679487179516,3.440624544159718,4.8452177e-05,6.20083e-06,6.085302e-09,0.25,2.760745,2.6779141,1.4568002,-3.677765,9.330129,0.23410560344827824,0.0,0.13806573275862286,0.0,0.3652160990714279,0.0,True,Cancer cells_vs_Erythroblasts,Cancer cells,Erythroblasts
RAD51,0.9677483974358975,0.03225160256410253,3.4014040998411454,9.837056e-06,1.4097127e-06,6.085302e-09,0.25,2.609539,2.5624757,1.3325664,-1.9523392,7.791547,0.05522629310344855,0.0,0.04135237068965529,0.0,0.09942952432403473,0.0,True,Cancer cells_vs_Erythroblasts,Cancer cells,Erythroblasts
CHEK1,0.9631410256410257,0.03685897435897434,3.263100457684443,1.3820783e-05,1.7704881e-06,6.085302e-09,0.25,2.9508154,2.9603453,1.4740707,-2.6286297,8.158751,0.08647629310344906,0.0,0.07139008620689731,0.0,0.12890108234517808,0.0,True,Cancer cells_vs_Erythroblasts,Cancer cells,Erythroblasts
TYMS,0.9439102564102564,0.05608974358974361,2.8230779544707016,5.538937e-05,5.9934473e-06,6.085302e-09,0.25,2.7438629,2.710866,1.6452656,-2.1955004,8.910488,0.2669719827586219,0.0,0.1330818965517262,0.0,0.41144852280305266,0.0,True,Cancer cells_vs_Erythroblasts,Cancer cells,Erythroblasts
RAD54L,0.9372996794871795,0.06270032051282048,2.704636351506205,1.2664159e-05,1.3987751e-06,6.085302e-09,0.25,2.805206,2.766862,1.6904237,-2.7514343,8.988161,0.038658405172413854,0.0,0.03165409482758612,0.0,0.061298654163453134,0.0,True,Cancer cells_vs_Erythroblasts,Cancer cells,Erythroblasts
EXO1,0.9324919871794872,0.06750801282051277,2.6256141219522062,4.2004353e-06,3.5306684e-07,6.085302e-09,0.25,2.769656,2.7269812,1.7074709,-3.297001,8.997971,0.0413523706896552,0.0,0.030980603448275766,0.0,0.05899669361875385,0.0,True,Cancer cells_vs_Erythroblasts,Cancer cells,Erythroblasts
CDC25A,0.9276842948717948,0.07231570512820518,2.5516500206448605,1.9679933e-06,2.447099e-07,6.085302e-09,0.25,2.4404433,2.3314323,1.614093,-2.8328075,9.280318,0.0099676724137931,0.0,0.009563577586206894,0.0,0.011353842383066425,0.0,True,Cancer cells_vs_Erythroblasts,Cancer cells,Erythroblasts
RFC4,0.9158653846153846,0.08413461538461542,2.3874512056987864,6.346443e-05,1.1417561e-05,6.085302e-09,0.25,2.8537726,2.9859195,1.7657692,-2.862317,8.505884,0.27922952586207117,0.0,0.17093211206896838,0.0,0.4311317437416015,0.0,True,Cancer cells_vs_Erythroblasts,Cancer cells,Erythroblasts
UBE2T,0.9130608974358975,0.08693910256410253,2.3515945716343625,6.94516e-05,7.06709e-06,6.085302e-09,0.25,2.7346272,2.6804452,1.7921131,-2.5999985,8.803046,0.5647898706896498,0.0,0.2425915948275906,0.0,1.0653360512104424,0.0,True,Cancer cells_vs_Erythroblasts,Cancer cells,Erythroblasts
XRCC2,0.8996394230769231,0.10036057692307687,2.1932244834777244,4.8212955e-06,7.105478e-07,6.085302e-09,0.25,2.5836012,2.577055,1.8282079,-4.2421703,9.407984,0.04175646551724146,0.0,0.036503232758620704,0.0,0.05534388995101548,0.0,True,Cancer cells_vs_Erythroblasts,Cancer cells,Erythroblasts
RRM2,0.899238782051282,0.10076121794871795,2.188794980558182,5.119534e-05,5.3117788e-06,6.085302e-09,0.25,2.5890603,2.5528698,1.86575,-3.4621181,8.8480015,0.2289870689655185,0.0,0.08970905172413908,0.0,0.44173274042784977,0.0,True,Cancer cells_vs_Erythroblasts,Cancer cells,Erythroblasts
BRCA1,0.8960336538461539,0.10396634615384615,2.1539106352422883,1.1857436e-05,2.0312698e-06,6.085302e-09,0.25,2.3191524,2.3349524,1.6744374,-4.227104,7.8572273,0.09226831896551792,0.0,0.0666756465517248,0.0,0.11451302353592634,0.0,True,Cancer cells_vs_Erythroblasts,Cancer cells,Erythroblasts
NEIL3,0.8916266025641025,0.10837339743589747,2.1074647091112664,4.3912787e-06,3.7877896e-07,6.085302e-09,0.25,2.9649086,2.9066734,2.2236476,-5.2950115,10.387108,0.024784482758620635,0.0,0.020339439655172365,0.0,0.03403552789641303,0.0,True,Cancer cells_vs_Erythroblasts,Cancer cells,Erythroblasts
FANCI,0.8908253205128205,0.10917467948717952,2.0991991154766714,1.3876648e-05,2.7425951e-06,6.085302e-09,0.25,2.1411989,2.153839,1.5251573,-3.3391876,7.031831,0.10344827586206977,0.0,0.07354525862069046,0.0,0.16771352709045223,0.0,True,Cancer cells_vs_Erythroblasts,Cancer cells,Erythroblasts
FANCD2,0.8725961538461539,0.12740384615384615,1.9241108536822213,4.944078e-06,1.0410287e-06,6.085302e-09,0.25,2.5196872,2.6228561,1.8794475,-4.264818,8.340694,0.03838900862068971,0.0,0.033539870689655124,0.0,0.055742164925466214,0.0,False,Cancer cells_vs_Erythroblasts,Cancer cells,Erythroblasts
TTK,0.821113782051282,0.17888621794871795,1.5239116959049643,1.3668044e-05,3.3211818e-06,6.085302e-09,0.25,1.7606338,1.7478852,1.6756042,-4.1756287,7.7391043,0.10627693965517294,0.0,0.056438577586207336,0.0,0.19563609150253208,0.0,False,Cancer cells_vs_Erythroblasts,Cancer cells,Erythroblasts
BRIP1,0.8012820512820513,0.19871794871794868,1.3943264949745757,4.0059685e-06,9.1911414e-07,6.085302e-09,0.25,1.8340992,1.784646,1.8893646,-5.2938843,9.442656,0.026400862068965462,0.0,0.022225215517241322,0.0,0.03250418830524154,0.0,False,Cancer cells_vs_Erythroblasts,Cancer cells,Erythroblasts
H2AFX,0.7558092948717948,0.24419070512820518,1.1298395627622906,5.4136934e-05,2.1357284e-05,6.085302e-09,0.25,1.4542624,1.5274081,1.6759106,-3.5970936,7.0923414,0.23908943965517535,0.0,0.15086206896551968,0.0,0.3419836328563242,0.0,False,Cancer cells_vs_Erythroblasts,Cancer cells,Erythroblasts
POLQ,0.7512019230769231,0.24879807692307687,1.1050328295897969,4.2644624e-06,1.067783e-06,6.085302e-09,0.25,1.6574869,1.7001934,2.028831,-5.695814,8.1804085,0.015490301724137909,0.0,0.013469827586206877,0.0,0.020717238520384828,0.0,False,Cancer cells_vs_Erythroblasts,Cancer cells,Erythroblasts
BLM,0.6921073717948718,0.3078926282051282,0.8099899746329453,9.804272e-06,4.389075e-06,6.085302e-09,0.25,0.99929136,1.078177,1.6096933,-5.9589214,5.5797815,0.0471443965517243,0.0,0.038927801724138,0.0,0.08224828622912823,0.0,False,Cancer cells_vs_Erythroblasts,Cancer cells,Erythroblasts
FANCB,0.6466346153846154,0.3533653846153846,0.6042787799884676,4.7074122e-06,1.9465601e-06,6.085302e-09,0.25,0.90437883,0.8874502,1.6753592,-4.5995083,7.035576,0.026670258620689585,0.0,0.024245689655172348,0.0,0.04650415340813736,0.0,False,Cancer cells_vs_Erythroblasts,Cancer cells,Erythroblasts
CDC25C,0.6045673076923077,0.3954326923076923,0.42453241058636926,6.261825e-06,2.336164e-06,6.085302e-09,0.25,0.7543487,0.67628765,1.6101875,-5.385063,6.6862736,0.04108297413793112,0.0,0.02990301724137922,0.0,0.0703278003465587,0.0,False,Cancer cells_vs_Erythroblasts,Cancer cells,Erythroblasts
FANCA,0.5402644230769231,0.45973557692307687,0.16140719740290577,1.6848677e-05,3.8608898e-05,6.085302e-09,0.25,0.25719965,0.43495083,1.8155408,-6.2827787,5.3753138,0.09630926724138023,0.0,0.07327586206896632,0.0,0.11583185952115005,0.0,False,Cancer cells_vs_Erythroblasts,Cancer cells,Erythroblasts
