,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,celltype
TRAV38-2DV8,0.4984,0.5016,-0.006400021717466342,0.00035536612,0.0006887002,1.271431e-07,0.5,0.35534543,0.48749352,3.168694,-7.838214,13.754226,0.542384,0.7208296,1.0,1.0,5.4602914,6.817534,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
FABP5,0.4984,0.5016,-0.006400021717466342,0.0022373141,0.0026057328,1.271431e-07,0.5,0.6768021,0.49434996,2.172277,-5.166901,10.997841,2.1489801,2.1525147,1.0,1.0,22.07983,21.244589,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
CX3CL1,0.498,0.502,-0.008000042507073868,4.052364e-05,5.480445e-05,1.271431e-07,0.5,0.6081131,0.4887743,3.2356982,-8.531715,11.755015,0.054059666,0.21311449,1.0,1.0,0.52575415,1.7716357,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
ENO2,0.4976,0.5024,-0.009600073537014864,0.0004949555,0.00042838158,1.271431e-07,0.5,0.6782676,0.49130058,1.6702969,-3.965229,8.509689,1.1294754,1.2703006,1.0,1.0,11.562292,11.931787,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
IGHV3-62,0.4976,0.5024,-0.009600073537014864,2.3058062e-06,2.7129415e-06,1.271431e-07,0.5,1.2107747,1.3339376,5.899691,-16.606976,15.980829,0.004955162,0.018578524,1.0,1.0,0.046841502,0.28345627,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
IGHG1,0.4976,0.5024,-0.009600073537014864,0.0015218392,0.0020476696,1.271431e-07,0.5,0.40278998,0.47708368,2.75173,-7.746416,7.273421,1.8606721,1.897393,1.0,1.0,18.941347,21.70991,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
MCAM,0.4974,0.5025999999999999,-0.010400093532181853,0.00024571738,0.00022954273,1.271431e-07,0.5,0.6962625,0.48243904,2.4670036,-6.7100496,13.622503,0.29196042,0.44777456,1.0,1.0,2.7961946,3.943441,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
NDUFA4L2,0.4974,0.5025999999999999,-0.010400093532181853,7.492559e-05,0.00023045125,1.271431e-07,0.5,0.23096108,0.4812417,2.907042,-10.492992,8.581693,0.2722464,0.7179007,1.0,1.0,2.7928746,6.234914,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
RNF223,0.4974,0.5025999999999999,-0.010400093532181853,3.0362803e-06,9.996897e-06,1.271431e-07,0.5,0.4309184,0.52086353,2.952755,-9.065583,9.350166,0.029444236,0.12607361,1.0,1.0,0.29085147,1.081208,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
MAL2,0.4972,0.5028,-0.011200116855529463,9.142625e-05,0.00018684378,1.271431e-07,0.5,0.5368063,0.48101425,2.9314334,-8.760017,10.067294,0.47678727,0.7740862,1.0,1.0,4.8076534,6.6680136,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
TRBV30,0.4972,0.5028,-0.011200116855529463,0.00043512438,0.0005824583,1.271431e-07,0.5,0.7547203,0.4713583,2.5259278,-5.4349856,12.367027,0.6053038,0.8881173,1.0,1.0,5.841753,8.2262125,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
SPARCL1,0.4972,0.5028,-0.011200116855529463,0.0003928782,0.0005776123,1.271431e-07,0.5,0.44165713,0.464674,3.6666248,-9.897076,11.578806,0.6040226,0.54090405,1.0,1.0,5.940884,4.7307887,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
SPP1,0.4972,0.5028,-0.011200116855529463,0.0012414982,0.004135506,1.271431e-07,0.5,-0.43946236,-0.4851694,3.0963721,-8.572054,11.552187,1.8425956,2.0168562,1.0,1.0,19.139423,19.808788,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
IGHV3-52,0.4968,0.5032,-0.01280017451095139,9.225764e-07,1.1305782e-06,1.271431e-07,0.5,0.7467766,0.71317863,2.9722457,-9.830911,11.908873,0.012441057,0.0075924443,1.0,1.0,0.12680885,0.10390424,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
RBP7,0.4968,0.5032,-0.01280017451095139,3.4252418e-05,4.3424647e-05,1.271431e-07,0.5,0.7280972,0.4870577,2.9206119,-7.276559,12.4002285,0.13362505,0.20544612,1.0,1.0,1.2758052,1.9495487,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
CXCL10,0.5,0.5,0.0,5.6358564e-05,0.00016598609,1.271431e-07,0.5,-0.2560966,-0.5006528,2.6595845,-8.103585,8.717764,0.29826337,0.5819952,1.0,1.0,3.0155175,5.7943044,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
CCN5,0.5002,0.4998,0.0008000000266666918,2.8257516e-06,6.7219758e-06,1.271431e-07,0.5,0.9582636,0.6544657,4.3300576,-10.155668,14.604549,0.0104023535,0.058783434,1.0,1.0,0.09411524,0.50735873,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
